zone,fuel,Season,Day type,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
South_Africa,PV,Q1,d1,0,0,0,0,0,0,0.013,0.241,0.473,0.641,0.752,0.811,0.819,0.781,0.696,0.559,0.369,0.137,0,0,0,0,0,0
South_Africa,PV,Q1,d2,0,0,0,0,0,0.001,0.044,0.2,0.39,0.554,0.654,0.692,0.701,0.674,0.604,0.493,0.341,0.162,0.028,0,0,0,0,0
South_Africa,PV,Q1,d3,0,0,0,0,0,0,0.014,0.069,0.153,0.237,0.332,0.411,0.434,0.414,0.366,0.311,0.232,0.114,0.016,0,0,0,0,0
South_Africa,PV,Q1,d4,0,0,0,0,0,0,0.018,0.225,0.442,0.605,0.716,0.773,0.772,0.717,0.612,0.466,0.308,0.129,0.002,0,0,0,0,0
South_Africa,PV,Q2,d1,0,0,0,0,0,0,0,0.012,0.114,0.417,0.592,0.661,0.738,0.699,0.622,0.476,0.256,0.007,0,0,0,0,0,0
South_Africa,PV,Q2,d2,0,0,0,0,0,0,0,0.202,0.446,0.616,0.729,0.791,0.803,0.768,0.683,0.546,0.351,0.108,0,0,0,0,0,0
South_Africa,PV,Q2,d3,0,0,0,0,0,0,0,0.166,0.413,0.582,0.702,0.765,0.779,0.747,0.667,0.534,0.343,0.081,0,0,0,0,0,0
South_Africa,PV,Q2,d4,0,0,0,0,0,0,0,0.073,0.275,0.494,0.578,0.742,0.786,0.752,0.662,0.516,0.299,0.013,0,0,0,0,0,0
South_Africa,PV,Q3,d1,0,0,0,0,0,0,0,0.082,0.372,0.565,0.681,0.74,0.752,0.715,0.616,0.466,0.25,0.009,0,0,0,0,0,0
South_Africa,PV,Q3,d2,0,0,0,0,0,0,0,0.07,0.27,0.603,0.731,0.795,0.806,0.767,0.676,0.527,0.308,0.028,0,0,0,0,0,0
South_Africa,PV,Q3,d3,0,0,0,0,0,0,0,0.196,0.445,0.625,0.736,0.8,0.81,0.774,0.687,0.55,0.353,0.108,0,0,0,0,0,0
South_Africa,PV,Q3,d4,0,0,0,0,0,0,0.001,0.041,0.1,0.138,0.182,0.206,0.207,0.189,0.263,0.403,0.25,0.059,0,0,0,0,0,0
South_Africa,PV,Q4,d1,0,0,0,0,0,0,0.028,0.239,0.457,0.621,0.727,0.782,0.789,0.75,0.663,0.528,0.342,0.126,0.001,0,0,0,0,0
South_Africa,PV,Q4,d2,0,0,0,0,0,0,0.025,0.174,0.378,0.56,0.668,0.719,0.675,0.653,0.457,0.244,0.113,0.036,0,0,0,0,0,0
South_Africa,PV,Q4,d3,0,0,0,0,0,0,0.047,0.249,0.438,0.587,0.73,0.79,0.8,0.762,0.677,0.542,0.356,0.134,0.009,0,0,0,0,0
South_Africa,PV,Q4,d4,0,0,0,0,0,0.003,0.062,0.229,0.408,0.545,0.64,0.679,0.56,0.436,0.406,0.366,0.28,0.139,0.036,0,0,0,0,0
South_Africa,OnshoreWind,Q1,d1,0.666,0.648,0.607,0.552,0.464,0.4,0.354,0.332,0.386,0.286,0.121,0.049,0.02,0.011,0.008,0.008,0.007,0.001,0,0.007,0.085,0.22,0.368,0.519
South_Africa,OnshoreWind,Q1,d2,0.449,0.425,0.343,0.261,0.183,0.104,0.021,0.017,0.006,0.006,0.006,0.008,0.008,0.004,0.001,0,0,0,0,0,0.001,0.004,0.008,0.005
South_Africa,OnshoreWind,Q1,d3,0.253,0.206,0.17,0.163,0.155,0.162,0.196,0.3,0.381,0.422,0.406,0.32,0.193,0.098,0.033,0.005,0,0,0.003,0.051,0.12,0.176,0.207,0.225
South_Africa,OnshoreWind,Q1,d4,0.687,0.661,0.633,0.606,0.574,0.541,0.455,0.194,0.297,0.177,0.059,0.016,0.003,0,0,0,0,0,0.004,0.037,0.11,0.185,0.245,0.297
South_Africa,OnshoreWind,Q2,d1,0.604,0.672,0.639,0.629,0.593,0.518,0.416,0.302,0.285,0.307,0.27,0.224,0.218,0.242,0.271,0.28,0.265,0.278,0.315,0.377,0.4,0.403,0.459,0.422
South_Africa,OnshoreWind,Q2,d2,0.673,0.663,0.638,0.61,0.586,0.574,0.569,0.368,0.122,0.362,0.379,0.295,0.22,0.157,0.099,0.045,0.011,0.001,0.009,0.076,0.201,0.344,0.47,0.55
South_Africa,OnshoreWind,Q2,d3,0.251,0.205,0.155,0.098,0.048,0.015,0.002,0,0,0.024,0.109,0.196,0.279,0.315,0.319,0.316,0.341,0.564,0.786,0.778,0.678,0.573,0.517,0.459
